Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
219,SCHIZOPHRENIA BULLETIN,"8,966",8.273,0.02794
221,CYTOKINE & GROWTH FACTOR REVIEWS,"4,252",8.239,0.01543
222,EPIDEMIOLOGIC REVIEWS,"2,329",8.238,0.00554
223,CANCER RESEARCH,"139,396",8.234,0.39976
224,ANTIOXIDANTS & REDOX SIGNALING,"7,980",8.209,0.03541
225,CLINICAL INFECTIOUS DISEASES,"41,482",8.186,0.13631
226,Advances in Catalysis,"1,449",8.167,0.00128
227,JOURNAL OF AUTOIMMUNITY,"3,543",8.136,0.01029
228,HUMAN MOLECULAR GENETICS,"33,206",8.058,0.13277
229,Annual Review of Earth and Planetary Sciences,"3,896",8.048,0.01295
230,Polymer Reviews,688,8.024,0.00382
231,NEUROLOGY,"72,139",8.017,0.15896
232,ACM COMPUTING SURVEYS,"2,888",8,0.00567
233,BIOMATERIALS,"57,047",7.883,0.1346
234,Annual Review of Nuclear and Particle Science,"1,812",7.882,0.00681
235,Annual Review of Nutrition,"3,983",7.878,0.007
236,STEM CELLS,"16,123",7.871,0.07966
237,NUCLEIC ACIDS RESEARCH,"100,444",7.836,0.32695
238,EMBO REPORTS,"9,402",7.822,0.05513
239,Pain Physician,"1,739",7.793,0.00417
240,PSYCHOLOGICAL REVIEW,"19,676",7.784,0.02115
240,PSYCHOLOGICAL REVIEW,"19,676",7.784,0.02115
242,SEMINARS IN CANCER BIOLOGY,"3,820",7.758,0.01418
243,Nature Clinical Practice Endocrinology & Metabolism,"1,222",7.717,0.00834
244,CURRENT OPINION IN MICROBIOLOGY,"6,743",7.714,0.03108
245,Nature Clinical Practice Neurology,"1,206",7.707,0.00846
246,ACTA NEUROPATHOLOGICA,"9,540",7.695,0.02347
247,PHYSIOLOGY,"1,950",7.657,0.0131
248,PHYSICAL REVIEW LETTERS,"335,522",7.622,1.23313
249,BIOTECHNOLOGY ADVANCES,"3,874",7.6,0.01194
250,TRENDS IN MICROBIOLOGY,"7,314",7.5,0.02472
251,MOLECULAR INTERVENTIONS,"1,154",7.478,0.00367
252,ANNALS OF SURGERY,"32,990",7.474,0.06764
253,Nature Reviews Cardiology,440,7.467,0.00235
254,JOURNAL OF ECONOMIC LITERATURE,"4,846",7.432,0.01472
255,ONCOGENE,"59,299",7.414,0.19817
256,CLINICAL CANCER RESEARCH,"58,094",7.338,0.22421
257,Small,"11,496",7.336,0.06735
258,MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,"1,560",7.333,0.00159
259,JOURNAL OF PATHOLOGY,"13,094",7.274,0.03676
260,JOURNAL OF NEUROSCIENCE,"139,902",7.271,0.4697
261,CORTEX,"4,788",7.251,0.01156
262,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"30,841",7.215,0.08836
263,Advances in Immunology,"2,364",7.195,0.01016
264,JOURNAL OF CONTROLLED RELEASE,"24,331",7.164,0.04974
265,MOLECULAR THERAPY,"11,493",7.149,0.04296
266,AGING CELL,"3,371",7.148,0.01991
267,DIABETES CARE,"42,325",7.141,0.11362
268,CANCER AND METASTASIS REVIEWS,"3,770",7.14,0.01363
269,Nature Clinical Practice Rheumatology,"1,252",7.113,0.00816
270,ARCHIVES OF NEUROLOGY,"21,011",7.108,0.04865
271,JOURNAL OF BONE AND MINERAL RESEARCH,"21,130",7.059,0.04888
272,CELLULAR AND MOLECULAR LIFE SCIENCES,"15,469",7.047,0.06853
273,JOURNAL OF MEDICAL GENETICS,"11,726",7.037,0.03621
274,JOURNAL OF NUCLEAR MEDICINE,"20,687",7.022,0.04712
275,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"2,582",7,0.00245
276,DIABETOLOGIA,"21,508",6.973,0.06679
